address,area,city,country,crawl_date,guest_recommendation,hotel_brand,hotel_category,hotel_star_rating,image_count,latitude,locality,longitude,point_of_interest,property_id,property_name,property_type,province,query_time_stamp,review_count_by_category,room_area,room_count,room_type,site_review_count,site_review_rating,site_stay_review_rating,sitename,state,uniq_id
"24/7, Hari Nagr, Khandsa Road, Near Hero Honda Chowk, Sector-10A Market, Gurgaon",Others,Gurgaon,India,03-07-2016,,OliveServiceApartments,regular,0,5,28.6139391,Others,77.2090212,Others,HTLGBO1000066166,shree kanta Residency,Hotel,Gurgaon,2016-07-03 04:30:46 +0000,,,4,Deluxe,,,Service Quality::|Amenities::|Food and Drinks::|Value for Money::|Location::|Cleanliness::,goibibo,Haryana,6cc02a1d28dee0fbfc7a0bac31699fbf
"Delhi Nainital Road, Rudrapur HO","Nainital Road, Rudrapur Ho",Rudrapur,India,03-07-2016,,null,regular,1,5,28.9875082,"Nainital Road, Rudrapur Ho",79.4141214,"Nainital Road, Rudrapur Ho",HTLGBO1000073738,Sohraab Hotel,Hotel,Rudrapur,2016-07-03 04:30:46 +0000,,,16,deluxe room,,,Service Quality::|Amenities::|Food and Drinks::|Value for Money::|Location::|Cleanliness::,goibibo,Uttarakhand,ac1f057d1506bc03675a5ef1d2636a5e
"7, Tadiwala road,near pune station, Pune",Pune Central City,Pune,India,03-07-2016,78,null,gostays,3,11,18.53141115,Pune Central City,73.87472597,Pune Central City|Prabhat Cinema|Inlaks &amp; Budhrani Hospital|Nucleus Mall|Kamla Nehru Hospital|Shivaji Nagar Bus Stop|Universal Hospital|Bharat Ratna Swa Rajiv Gandhi Hospital|Jehangir Hospital|Vishrambaug Wada|Rahul Cinema|Shaniwar Wada|Osho Ashram|Railway Station Shivaji Nagar|National Institute of Ophthalmology|Wadia College|Pune Airport|National War Museum|Sancheti Hospital|Pune Junction Railway Station|Pataleshwar Cave Temples|dagdusheth ganpati|Shivaji Nagar District Court|Inlaks & Budhrani Hospital,HTLGBO1000007413,Shree Panchratna Hotel,Hotel,Pune,2016-07-03 04:30:46 +0000,positive reviews::105|critical reviews::6|reviews with images::11,,42,Deluxe Room,111,4.4,Service Quality::4.3|Amenities::4.2|Food and Drinks::4.2|Value for Money::4.4|Location::4.4|Cleanliness::4.5,goibibo,Maharashtra,90a596848f95ca1e691552597fa49cb9
Tibet Road  S.G Marg,Tibet Road,Gangtok,India,03-07-2016,,null,regular,0,9,28.6139391,Tibet Road,77.2090212,Tibet Road,HTLGBO1000062484,Snow Lion,Hotel,Gangtok,2016-07-03 04:30:46 +0000,,,27,Deluxe Room,,,Service Quality::|Amenities::|Food and Drinks::|Value for Money::|Location::|Cleanliness::,goibibo,Sikkim,7a81041d516b080cbbdf0d45bd91d744
"88 Niranjanpur, Shaharanpur Road, Opp. New Sabzi Mandi",Saharanpur Road,Dehradun,India,03-07-2016,,null,regular,0,10,30.2989082,Saharanpur Road,78.0066412,Saharanpur Road,HTLGBO1000085856,Simran Guest House,Hotel,Dehradun,2016-07-03 04:30:46 +0000,,,12,A/C ROOMS,,,Service Quality::|Amenities::|Food and Drinks::|Value for Money::|Location::|Cleanliness::,goibibo,Uttarakhand,72d9ec7b6f3485ac459702784e4e4e25
"Siddhi Hotel and Resort, Mahuva-Una Highway, Hindorana Chowkdi,Hindorana,Rajula City- Dist- Amreli.",Jafrabad Road,Rajula,India,03-07-2016,,null,regular,3,7,21.00602797,Jafrabad Road,71.43647902,Jafrabad Road,HTLGBO1000042834,Siddhi Hotel and Resort,Hotel,Rajula,2016-07-03 04:30:46 +0000,,,62,Suite Room,,,Service Quality::|Amenities::|Food and Drinks::|Value for Money::|Location::|Cleanliness::,goibibo,Gujarat,dc98ab3f5d3edca75a505004f6edb7d4
"Mandir Road Near Sant Gadagebaba Chawk, Shegaon 444203",Gadge Baba Chowk,Shegaon,India,03-07-2016,,null,regular,0,2,20.7927132,Gadge Baba Chowk,76.6943283,Gadge Baba Chowk,HTLGBO1000060322,SHREE HARI GUEST HOUSE,Guest House,Shegaon,2016-07-03 04:30:46 +0000,,,14,AC DELUXE,,,Service Quality::|Amenities::|Food and Drinks::|Value for Money::|Location::|Cleanliness::,goibibo,Maharashtra,343571aa62db7d1c63bd02f182b0ade0
"Mukteshwar(kumaon), Nainital - 263138, Gross Bazar",Others,Nainital,India,03-07-2016,,null,regular,0,13,29.4604149,Others,79.6558242,Mukteshwar Inspection Bungalow|Mukteshwar temple|Chauthi Jaali|Others,HTLGBO1000080824,Shree Hari Resort,Hotel,Nainital,2016-07-03 04:30:46 +0000,,,6,Super Deluxe Room,,,Service Quality::|Amenities::|Food and Drinks::|Value for Money::|Location::|Cleanliness::,goibibo,Uttarakhand,10c9a78d6278864a73904bda5875d2ca
"Tsunami Island, Devbag Mobar Road, Maharashtra",Devbag,Malwan,India,03-07-2016,,null,regular,0,7,16.0294598,Devbag,73.4876722,Tarkarli|Devbag,HTLGBO1000068582,Siddhivinayak Beach Resort,Resort,Malwan,2016-07-03 04:30:46 +0000,,,9,Deluxe room,,,Service Quality::|Amenities::|Food and Drinks::|Value for Money::|Location::|Cleanliness::,goibibo,Maharashtra,e3b35c1403b42f37287522b49a50b277
"Plot 613,New Nagardas road,Near Metro Exit gate No -1 ,Andheri (East) ,Mumbai ,Maharashtra, India",Mumbai Airport,Mumbai,India,03-07-2016,100,Siesta Hospitality Services Limited,regular,3,20,19.12167945,Mumbai Airport,72.8481338,Jogeshwari Railway Station|Vile Parle Railway Station|Andheri Railway Station|Chhatrapati Shivaji International Airport|Garware Hosue|Marol Naka|Mumbai Airport,HTLGBO1000085866,Siesta Andheri Hotel,Hotel,Mumbai,2016-07-03 04:30:46 +0000,positive reviews::8|critical reviews::0|reviews with images::1,,5,Palladium Room,8,4.6,Service Quality::4.7|Amenities::4.7|Food and Drinks::4.9|Value for Money::4.5|Location::4.4|Cleanliness::5.0,goibibo,Maharashtra,1548becd361a0fa8a3e5c377dad17850
"Amballur P.O, Puthukkad, Thrissur, Kerala, 680301",Athirapally,Thrissur,India,03-07-2016,,null,regular,3,16,10.43531963,Athirapally,76.26560223,Athirapally Falls|Athirapally,HTLGBO1000067196,Sree Gokulam Residency,Hotel,Thrissur,2016-07-03 04:30:46 +0000,,,32,Deluxe Non Ac Room,,,Service Quality::|Amenities::|Food and Drinks::|Value for Money::|Location::|Cleanliness::,goibibo,Kerala,fe89a9d86b735345ca4c28c3a256fef3
"Bungalow No 5 Mala's Society,Met Gutad Pachgani, Mahabaleshwar Road",Panchgani Road,Mahabaleshwar,India,03-07-2016,100,null,regular,0,3,28.6139391,Panchgani Road,77.2090212,Panchgani Road|Vigyan Bhawan|Dr. Ram Manohar Lohia Hospital,HTLGBO1000031118,Shubh Villa,Bungalow,Mahabaleshwar,2016-07-03 04:30:46 +0000,positive reviews::1|critical reviews::0|reviews with images::1,,3,3 Bed Room Villa (Rates for 10 Pax),1,5,Service Quality::5.0|Amenities::5.0|Food and Drinks::5.0|Value for Money::5.0|Location::5.0|Cleanliness::5.0,goibibo,Maharashtra,99eb65bc9b4aa38e6b8e63287860df17
"Near Delicacies Restaurant, MVP Colony, Visakhapatnam",Others,Visakhapatnam,India,03-07-2016,0,null,regular,0,3,17.7424749,Others,83.3388608,Indira Gandhi Zoological Park|Others,HTLGBO1000017858,Sri Sai Sampath Hospitalities,Guest House,Visakhapatnam,2016-07-03 04:30:46 +0000,positive reviews::1|critical reviews::0|reviews with images::0,,4,Deluxe Room,1,3,Service Quality::3.0|Amenities::3.0|Food and Drinks::3.0|Value for Money::3.0|Location::3.0|Cleanliness::3.0,goibibo,Andhra Pradesh,201e4244db20d6bde7304d331ff28ac7
"Thekkinkadu road, Thekkady, Kumily",Kumily,Thekkady,India,03-07-2016,,null,regular,2,20,9.6031088,Kumily,77.161458,,HTLGBO1000049674,Silent Summit Cottage,Homestay,Thekkady,2016-07-03 04:30:46 +0000,,,6,Deluxe Room,,,Service Quality::|Amenities::|Food and Drinks::|Value for Money::|Location::|Cleanliness::,goibibo,Kerala,84b775366d9d012310638abceeb16572
MIT enclave,Kalyani Nagar,Pune,India,03-07-2016,,null,regular,0,15,18.54409718,Kalyani Nagar,73.90303093,National War Museum|Kalyani Nagar|Aga Khan Palace|Race Course|Inlaks &amp; Budhrani Hospital|Bharat Ratna Swa Rajiv Gandhi Hospital|Nucleus Mall|Jehangir Hospital|Pune Junction Railway Station|Shree Hospital|Poona Club Golf Course|Osho Ashram|Wadia College|Pune Airport|Ghorpuri Railway Station|Inlaks & Budhrani Hospital,HTLGBO1000075436,Shree Balaji Hospitality-MIT Enclave,Bungalow,Pune,2016-07-03 04:30:46 +0000,,12 X 14 Sq.ft.,10,Deluxe,,,Service Quality::|Amenities::|Food and Drinks::|Value for Money::|Location::|Cleanliness::,goibibo,Maharashtra,23f12d354dccd654c81f6287a066de3b
"Soundarya Palace Hotel, Kondemoola Grama, Kateel,Near Shree Durga Parameshwari Temple",Kottara Chowki Junction,Mangalore,India,03-07-2016,,null,regular,0,12,12.8778737,Kottara Chowki Junction,74.8399072,St. Aloysius Church|Bejai Museum|Kottara Chowki Junction|Mangalore Railway Station|Mangalore International Airport|St Alaysius College|Kadri Manjunath Temple|Mangala Stadium,HTLGBO1000081054,Soundarya Palace Hotel,Hotel,Mangalore,2016-07-03 04:30:46 +0000,,,10,Ac Room,,,Service Quality::|Amenities::|Food and Drinks::|Value for Money::|Location::|Cleanliness::,goibibo,Karnataka,712f2da035c200c1a2ec6c942ce312af
"9, new ashok vihar chandanwari , near st. gregorius school, near 100 ft univercity road",Others,Udaipur,India,03-07-2016,,null,regular,0,15,24.59603883,Others,73.71149986,Others|Delhi Darwaza|Udaipur University,HTLGBO1000036498,shree ji manglam guest house,Guest House,Udaipur,2016-07-03 04:30:46 +0000,,,7,Ordinary Room Non A/C,,,Service Quality::|Amenities::|Food and Drinks::|Value for Money::|Location::|Cleanliness::,goibibo,Rajasthan,388af8e28528ac5ba1a8a027b603f66c
"opp Paradise Village,Tivai Vaddo,Calangute,Bardez,Goa",Calangute Area,Goa,India,03-07-2016,68,null,regular,2,6,15.53534889,Calangute Area,73.76164246,Candolim Bus Stop|Calangute Beach|Calangute Area|Calangute Bus Stand|North Goa|Candolim Beach,HTLGBO1000048058,SHON de Goa,Hotel,Goa,2016-07-03 04:30:46 +0000,positive reviews::106|critical reviews::29|reviews with images::11,,17,Deluxe Room,135,3.9,Service Quality::3.5|Amenities::3.6|Food and Drinks::4.7|Value for Money::3.7|Location::3.8|Cleanliness::4.6,goibibo,Goa,8dff0395c07d6d9d0b584966b313d17e
"Mehron Ka Chowk, Jaswanth Thade Ki Ghati , Near Umaid Chowk, JODHPUR (Raj.)",Mehrangarh Fort Area,Jodhpur,India,03-07-2016,63,null,regular,0,13,26.30128925,Mehrangarh Fort Area,73.02465272,Umaid Bhavan Palace|Mahamandir Temple|Barkatullah Khan Stadium|Mehrangarh Fort|Jodhpur Railway Station|Umaid Club|Jodhpur Airport|Jalori Gate|Nagauri Gate|Mehrangarh Fort Area|Jaswant Thada,HTLGBO1000026220,Shyam Palace Guest House,Guest House,Jodhpur,2016-07-03 04:30:46 +0000,positive reviews::8|critical reviews::3|reviews with images::2,10 X 14 Sq.ft.,6,Standard Non A/C Room,11,3.5,Service Quality::3.5|Amenities::3.5|Food and Drinks::4.1|Value for Money::3.6|Location::3.5|Cleanliness::4.4,goibibo,Rajasthan,970baefbff12745abe81e6da562e2fbd
"52/1623, Bhagabanpur, Industrial Estate, Patrapada, Bhubaneswar",Others,Bhubaneswar,India,03-07-2016,,Leisure Hotels,regular,3,4,20.23521668,Others,85.7529642,Udayagiri and Khandagiri Caves|Others,HTLGBO1000044584,SOUTHCITY,Hotel,Bhubaneswar,2016-07-03 04:30:46 +0000,,,25,Suite Rooms,,,Service Quality::|Amenities::|Food and Drinks::|Value for Money::|Location::|Cleanliness::,goibibo,Orissa,7ed3588ffc579c6f2a192b233612b383
"MANU MARG ,ALWAR",Manu Marg,Alwar,India,03-07-2016,89,null,regular,0,61,27.56304906,Manu Marg,76.60517426,Fateh Jung ka Gumbaj|Moosi Maharani ki Chatri|Manu Marg|Vinay Vilas Mahal,HTLGBO1000077882,Sparrow Inn,Hotel,Alwar,2016-07-03 04:30:46 +0000,positive reviews::18|critical reviews::1|reviews with images::3,10 X 15 Sq.ft.,18,DELUXE,19,4.3,Service Quality::3.9|Amenities::4.1|Food and Drinks::4.3|Value for Money::4.1|Location::4.1|Cleanliness::4.3,goibibo,Rajasthan,b4fea259654031786b80c99d56b91b3b
"3, Civil Lines, Near Bus Stand,",Tadoba Chandrapur,Chandrapur,India,03-07-2016,100,null,regular,3,15,19.96510769,Tadoba Chandrapur,79.29938701,Mahakali Temple|Ancient Caves|Tadoba Chandrapur|Ganesha Temple and Hanuman Temple,HTLGBO1000046968,SIDDHARTH PREMIERE,Hotel,Chandrapur,2016-07-03 04:30:46 +0000,positive reviews::5|critical reviews::2|reviews with images::1,,35,Standard Room,7,3.7,Service Quality::4.1|Amenities::4.1|Food and Drinks::3.5|Value for Money::3.4|Location::4.1|Cleanliness::3.5,goibibo,Maharashtra,feb6c643cf3f748f6250948c1c6e958f
"Dr Mukherjee Hospital Road, Wright Town, Near Prem Mandir","Dr Mukherjee Hospital Road, Wright Town",Jabalpur,India,03-07-2016,,null,regular,0,7,23.181467,"Dr Mukherjee Hospital Road, Wright Town",79.9864071,"Dr Mukherjee Hospital Road, Wright Town|Jabalpur Airport",HTLGBO1000082734,Shri Dwarka Guest House,Guest House,Jabalpur,2016-07-03 04:30:46 +0000,,,3,Standard Room,,,Service Quality::|Amenities::|Food and Drinks::|Value for Money::|Location::|Cleanliness::,goibibo,Madhya Pradesh,b945eedf63ffb05a728ad0a3444bfe6d
"Opp Water Tank, Nr BSNL Office, Nagar Manmad Road, Shirdi",Pimpalwadi Road,Shirdi,India,03-07-2016,,null,regular,2,15,19.7691937,Pimpalwadi Road,74.4760687,Shirdi Bus Depot|Shirdi Sai Sansthan|Dixit Wada Museum|Gurusthan|Khandoba Temple|Chavadi|Police station|Samadhi Mandir|Water Park|Pimpalwadi Road,HTLGBO1000059220,Shri Krishna,Hotel,Shirdi,2016-07-03 04:30:46 +0000,,12 X 15 Sq.ft.,29,Standard Room,,,Service Quality::|Amenities::|Food and Drinks::|Value for Money::|Location::|Cleanliness::,goibibo,Maharashtra,ed54c1cb9b25fa5a6ec9be945deb9e88
"rogi road, chungling, kalpa,",Kalpa,Kinnaur,India,03-07-2016,,null,regular,0,10,31.6750021,Kalpa,78.2476146,Kalpa,HTLGBO1000091284,SIRAG VIEW RESORT,Resort,Kinnaur,2016-07-03 04:30:46 +0000,,,8,Deluxe Rooms,,,Service Quality::|Amenities::|Food and Drinks::|Value for Money::|Location::|Cleanliness::,goibibo,Himachal Pradesh,322981331e504652ee81afd517a97e48
"49, Saloon, Umaid Club Road, Paota, Jodhpur",Rai Ka Bagh,Jodhpur,India,03-07-2016,92,null,regular,2,22,26.288401,Rai Ka Bagh,73.0352976,Rai Ka Bagh|Umaid Bhavan Palace|Mehrangarh Fort|Jodhpur Railway Station|Umaid Club|Jodhpur Airport|Jalori Gate|Nagauri Gate|Jaswant Thada,HTLGBO1000047106,Shree Mohan Villas,Hotel,Jodhpur,2016-07-03 04:30:46 +0000,positive reviews::10|critical reviews::3|reviews with images::3,,11,Premium Room,13,3.9,Service Quality::4.0|Amenities::3.8|Food and Drinks::3.6|Value for Money::4.0|Location::3.9|Cleanliness::4.1,goibibo,Rajasthan,ff3e3d11de021aab68682da0fbac4a32
"village kandi ,Khanyara Road, Dharamshala, Himachal Pradesh (INDIA) way to aghanjar mahadev temple",Khanyara Road,Dharmsala,India,03-07-2016,81,null,regular,3,11,32.2085128,Khanyara Road,76.3461342,Khanyara Road,HTLGBO1000004781,Snow Hermitage Resort,Resort,Dharmsala,2016-07-03 04:30:46 +0000,positive reviews::15|critical reviews::1|reviews with images::5,,20,Luxury Room,16,4.2,Service Quality::4.2|Amenities::3.9|Food and Drinks::4.4|Value for Money::3.9|Location::4.0|Cleanliness::4.6,goibibo,Himachal Pradesh,d52782e9ee1e35355a02edbb3dc6c398
"Srinagar Colony,SBH Colony, Lane No 3,Door No. - 8-3-988/17",Ameerpet,Hyderabad,India,03-07-2016,,null,regular,3,6,17.43100315,Ameerpet,78.43551724,NTR Garden|Hyderabad Central|Jalavihar Park|Big Cinema|Hussain Sagar|GVK ONE|L V Prasad Eye Institute|Begumpet Railway Station|Paradise |Ameerpet,HTLGBO1000030978,Skyla Serviced Apartments - Srinagar colony,Service Apartment,Hyderabad,2016-07-03 04:30:46 +0000,,10 X 12 Sq.ft.,8,Executive Room,,,Service Quality::|Amenities::|Food and Drinks::|Value for Money::|Location::|Cleanliness::,goibibo,Andhra Pradesh,6f2b61804310b7905ac435846261346c
"N.H. 66, Near Chicken Sal Road","N.H. 66, Near Chicken Sal Road",Kundapura,India,03-07-2016,,null,regular,0,9,13.6315963,"N.H. 66, Near Chicken Sal Road",74.6899917,"N.H. 66, Near Chicken Sal Road",HTLGBO1000077606,Simon Comfort,Hotel,Kundapura,2016-07-03 04:30:46 +0000,,,22,Delux Room,,,Service Quality::|Amenities::|Food and Drinks::|Value for Money::|Location::|Cleanliness::,goibibo,Karnataka,3e1d0a1b80129ef3237236aa7bdb4559
"Ojale Pakhadi Road, Shrivardhan, Maharashtra 402110",Ojale Pakhadi Road,Shrivardhan,India,03-07-2016,,null,regular,0,9,18.0506962,Ojale Pakhadi Road,73.0119222,Ojale Pakhadi Road,HTLGBO1000064152,SHREE HOLIDAY HOMES,Homestay,Shrivardhan,2016-07-03 04:30:46 +0000,,,6,STANDARD AC ROOM,,,Service Quality::|Amenities::|Food and Drinks::|Value for Money::|Location::|Cleanliness::,goibibo,Maharashtra,5d4f571b7fad4d93de56b51a4c80d523
B-2/5 SAFDARJUNG ENCLAVE NEAR R K KHANNA LAWN TENNIS STADIUM,Safdarjung Enclave,Delhi,India,03-07-2016,62,null,regular,3,25,28.56259428,Safdarjung Enclave,77.18896376,South Delhi|Safdarjung Station|Hungary Embassy|Dilli Haat|AIIMS|R. K. Khanna Tennis Stadium|Embassy and consulates of Belgium in India|Embassy of The Arab Republic of Egypt|Kuwait Embassy|INA Market|Hauz Khas|The Embassy Of Angola|Safdarjang Hospital|Safdarjung Enclave|Embassy of The Republic of Poland|Cultural Attaché of Royal Embassy of Saudi Arabia|Embassy Of The Philippines|Indian Institute of Technology|Deer Park|AASHLOK Hospital|Delegation of the European Union to India|Ethiopia Embassy|Sarojini Nagar Market|Slovenia Embassy,HTLGBO1000007658,Shreyans Inn,Hotel,Delhi,2016-07-03 04:30:46 +0000,positive reviews::7|critical reviews::1|reviews with images::3,14 X 14 Sq.ft.,30,DELUXE ROOM,8,3.9,Service Quality::3.9|Amenities::3.9|Food and Drinks::3.0|Value for Money::3.8|Location::4.0|Cleanliness::4.0,goibibo,Delhi,40266902b314b9983f6038d3b1db3c11
"50, North Chithirai Street",Madurai Main,Madurai,India,03-07-2016,56,null,regular,2,11,9.920924158,Madurai Main,78.12011167,Anna Nagar Bus Stop|Periyar Bus Stand|Madurai Main,HTLGBO1000009014,Sri Temple Park,Hotel,Madurai,2016-07-03 04:30:46 +0000,positive reviews::7|critical reviews::16|reviews with images::2,,29,Rooms A/C,23,2.2,Service Quality::2.0|Amenities::1.9|Food and Drinks::1.5|Value for Money::2.1|Location::3.1|Cleanliness::1.5,goibibo,Tamil Nadu,ed120d53126b1aa7cd4219d65f1267de
ADJ TO SHREE TALKIES NH-2 BYE PASS ROAD,Others,Agra,India,03-07-2016,81,null,regular,2,14,27.2098583,Others,78.0077416,Lotus Super Specialties Hospital|Dr. B. R. Ambedkar University|Soami Bagh Samadh |Agra City Railway Station|Inter State Bus Teminal|Radha Swami Samadhi|Delhi Gate|Asopa Hospital|Others,HTLGBO1000013621,Shree Residency,Hotel,Agra,2016-07-03 04:30:46 +0000,positive reviews::47|critical reviews::6|reviews with images::10,10 X 15 Sq.ft.,10,Deluxe Room,53,3.8,Service Quality::3.9|Amenities::3.8|Food and Drinks::4.2|Value for Money::4.0|Location::3.8|Cleanliness::4.5,goibibo,Uttar Pradesh,823b584a8b4f158bbf0b41fc7f6c9e93
"OPPOSITE SRI VIJAYA MAHAL,CINEMA ROAD.MANDAPETA TOWN ,EAST GODAVARI",Jampet,Rajahmundry,India,03-07-2016,,null,regular,0,9,16.87007087,Jampet,81.92633403,Jampet,HTLGBO1000087084,SRI KANYA LODGE MANDAPETA,Hotel,Rajahmundry,2016-07-03 04:30:46 +0000,,,7,AC DELUXE,,,Service Quality::|Amenities::|Food and Drinks::|Value for Money::|Location::|Cleanliness::,goibibo,Andhra Pradesh,68234ee59695b51ec768c3c0d935261e
"Residency Road, Jodhpur","Panch Batti Circle, Airport Rd",Jodhpur,India,03-07-2016,75,null,regular,3,39,26.266174,"Panch Batti Circle, Airport Rd",73.0336348,"Jaswant Thada|Salt Lake|Guda Bishnoi|Balsamand Lake|Mandore Garden|Umaid Bhavan Palace|Panch Batti Circle, Airport Rd|Jodhpur Railway Station|Umaid Club|Jodhpur Airport|Jalori Gate",HTLGBO1000000949,Shree Ram International,Hotel,Jodhpur,2016-07-03 04:30:46 +0000,positive reviews::24|critical reviews::9|reviews with images::4,,52,Deluxe Room,33,3.8,Service Quality::3.6|Amenities::3.7|Food and Drinks::3.2|Value for Money::3.7|Location::4.0|Cleanliness::3.5,goibibo,Rajasthan,226708c3766f55e83755d1de091a7826
"B-8, Nandanvan Colony, opposite injuman Islam school pangari village Pachgani",Main Town,Panchgani,India,03-07-2016,,null,regular,3,2,17.2952217,Main Town,73.7993208,Main Town,HTLGBO1000072302,Shri Laxmi Narayan Bungalow,Bungalow,Panchgani,2016-07-03 04:30:46 +0000,,,13,Standard Room,,,Service Quality::|Amenities::|Food and Drinks::|Value for Money::|Location::|Cleanliness::,goibibo,Maharashtra,491ab3b49cf0f88bfb372f27554172d2
"17, SIPCOT Industrial Complex,Hosur  635109",Sipcot Industrial Complex,Hosur,India,03-07-2016,,null,regular,1,14,12.7409127,Sipcot Industrial Complex,77.8252923,Chandira Choodeswarar Temple|Sipcot Industrial Complex,HTLGBO1000064546,Sivaranjani Hotel,Hotel,Hosur,2016-07-03 04:30:46 +0000,,,15,deluxe room,,,Service Quality::|Amenities::|Food and Drinks::|Value for Money::|Location::|Cleanliness::,goibibo,Tamil Nadu,3ea6b347d023af3e034606715648855b
"Opp Casino Palms, Off Calangute-Baga Road, Baga, Bardez, North Goa",Baga Area,Goa,India,03-07-2016,72,null,regular,0,28,15.56131125,Baga Area,73.75334352,"Calangute Beach|Baga Area|Titos lane, baga|Baga Beach|North Goa|Calangute Bus Stand",HTLGBO1000025956,Sugar Plum Macedo Palms,Guest House,Goa,2016-07-03 04:30:46 +0000,positive reviews::42|critical reviews::12|reviews with images::5,,10,Standard Non A/C Room,54,4.1,Service Quality::4.2|Amenities::4.3|Food and Drinks::4.4|Value for Money::4.3|Location::4.5|Cleanliness::4.4,goibibo,Goa,0de6fc2613ca357e05363f92ee8310b9
"Dr Zakir Hussain Road,Near St Paul'S School,Jalapahar",Chowrasta,Darjeeling,India,03-07-2016,84,null,regular,4,38,27.0309599,Chowrasta,88.265525,Darjeeling Railway Station|Mall Road|St Paul's school|Planters Hospital|Tea Garden|Zoo|Rock Garden|Tiger Hill|INOX / Big Bazaar|Airport|Darjeeling Botanical Garden|Yiga Choeling Monastery|Club Side|Mahakal Temple|Southfield College|Dali|Eden Hospital|Chowk Bazar|Gorkha Ranga Mancha Bhawan|Capital Market|Keventers|T B Hospital|Darjeeling Station|Yuma Nursing Home|Planters|Darjeeling Railway station|Chowrasta|Gymkhana Club,HTLGBO1000000342,Summit Grace Hotel &amp; Spa,Hotel,Darjeeling,2016-07-03 04:30:46 +0000,positive reviews::74|critical reviews::14|reviews with images::19,17 X 17 Sq.ft.,18,Deluxe Room,88,4.1,Service Quality::4.3|Amenities::4.2|Food and Drinks::4.3|Value for Money::4.3|Location::3.9|Cleanliness::4.3,goibibo,West Bengal,b60f6363edeb3ab3abd8b3f9b2a062be
Kunjanagar Moiradanga Falakata Distt. Jalpaiguri,Kunjanagar,Falakata,India,03-07-2016,80,null,regular,0,17,26.5229076,Kunjanagar,89.2055316,Kunjanagar,HTLGBO1000003801,Suncity Resort Falakata,Resort,Falakata,2016-07-03 04:30:46 +0000,positive reviews::5|critical reviews::0|reviews with images::3,15 X 15 Sq.ft.,15,Stilt House,5,4.8,Service Quality::4.6|Amenities::4.8|Food and Drinks::4.8|Value for Money::4.8|Location::4.8|Cleanliness::4.8,goibibo,West Bengal,589fb6ad33b52c3fabafc7b5e191b5e4
"Rongay near Norgumba, chongay road, gangtok",Others,Gangtok,India,03-07-2016,100,null,regular,4,16,27.3389356,Others,88.6065035,"Helipad|New College Building, SMIMS|Raj Bhawan|Denzong Cinema|Paljor Stadium|Fambong La Wildlife Sanctuary|Thakurbari Temple and Dharamshala|Devlopment Area|Directorate of Handloom and Handicrafts (DHH)|Sikkim Government Law College|Do-Drul Chorten or Stupa|Banjhakri Falls|Diet College, Burtuk|ICFAI University|Bakthang Waterfalls|Others|Hanuman Tok|Tashi View Point|Manipal Central Referral Hospital|Sikkim Govt. College|Barad Sadan Academic Block, Sikkim University|Nehru Botanical Garden",HTLGBO1000089100,TASHILING RESIDENCY HOTEL AND SPA,Hotel,Gangtok,2016-07-03 04:30:46 +0000,positive reviews::1|critical reviews::0|reviews with images::1,12 X 24 Sq.ft.,52,Deluxe Room Valley View,1,4.6,Service Quality::4.6|Amenities::4.6|Food and Drinks::4.6|Value for Money::4.6|Location::4.6|Cleanliness::4.6,goibibo,Sikkim,cbfec2186bd0641b11b1d4f3ab71eacc
"Court Road, Doliyon Ka Bass, Sikar",Sikar,Sikar,India,03-07-2016,,null,regular,0,6,27.6182159,Sikar,75.1505117,Sikar,HTLGBO1000025620,Sunrise Hotel,Hotel,Sikar,2016-07-03 04:30:46 +0000,,,10,Standard Ac Rooms,,,Service Quality::|Amenities::|Food and Drinks::|Value for Money::|Location::|Cleanliness::,goibibo,Rajasthan,5ca09eb3b3e77b3d2f26920d733a69f8
"1/1230 A, branch road, Kochi Fort, Ernakulam",Fort Kochi,Ernakulam,India,03-07-2016,,null,regular,0,10,9.9312328,Fort Kochi,76.2673041,Fort Kochi|Fort|Jewish Synagogue,HTLGBO1000068762,Thanathil Homestay,Homestay,Ernakulam,2016-07-03 04:30:46 +0000,,,46,AC Rooms,,,Service Quality::|Amenities::|Food and Drinks::|Value for Money::|Location::|Cleanliness::,goibibo,Kerala,c4740399eb228a51d0c7b2732e19d05c
"Main Town Gulmarg, Near Hotel Meadows",Main Town,Gulmarg,India,03-07-2016,63,null,regular,3,16,34.0254659,Main Town,74.3564049,Alpathar Lake|Main Town,HTLGBO1000021856,Sun And Snow II,Hotel,Gulmarg,2016-07-03 04:30:46 +0000,positive reviews::8|critical reviews::3|reviews with images::3,,6,SuperDeluxe Room,11,3.5,Service Quality::3.7|Amenities::3.3|Food and Drinks::5.0|Value for Money::3.5|Location::3.5|Cleanliness::4.6,goibibo,Jammu and Kashmir,e4c8429f9708f3a8c62a8d0362db28fe
